内容
"07月01日 08:24分
周東(员工): ""尊敬的各位业主：
2024年7月1日07…………""
周東(员工)：""[视频]""
周東(员工)：""[视频]""
周東(员工)：""[视频]""
07月01日 08:40分
wm_anLCgAAVOGyd1uk10fDoAy-o9ge0w(客户): ""[强]""
07月01日 09:19分
维修部，代远立(员工): ""#公区维修-小区停车道闸施工中
⚙匠心维…………""
维修部，代远立(员工)：""[图片]""
07月01日 09:32分
王正涛(客户): ""[强][强][强]""
07月01日 12:45分
wm_anLCgAARM_2hPDwet0MaEk7zHdLOA(客户): ""1一22今天怎么没人打扫卫生。怎么回事呀""
犹胜(员工): ""@吴金平收到业主，通知保洁看一下。""
07月01日 13:08分
A1-1201业主(客户)：""[图片]""
A1-1201业主(客户): ""刚才接到这个电话说是什么宽带网络升级，大家注意点哦🙄""
07月01日 13:52分
陈红时(客户): ""和上次一样，属于推销机顶盒的。切莫上当。""
07月01日 14:01分
蔡虹(客户): ""而且这人能掌握我们的电话[发怒]""
蔡虹(客户): ""他说他就在御龙天峰""
蔡虹(客户)：""[图片]""
07月01日 14:11分
周雪松(员工): ""我们也打个电话问问怎么回事""
周雪松(员工): ""我问了，就是买网络电视会员的，大家选择要…………""
07月01日 14:21分
谢吉军(客户): ""涉及扰民的，该报警报警
@物业安保部负责人周东 @物业客服负责人-周雪松 ""
周東(员工): ""大家注意，谨防诈骗。我现在已和这个人打电…………""
07月01日 14:26分
周雪松(员工): ""收到""
07月01日 14:58分
周雪松(员工)：""[图片]""
周雪松(员工)：""[图片]""
周雪松(员工): ""@吴金平 业主您好！22楼杂物已清理""
周雪松(员工): ""保洁员说早上逐层往下打扫时没看见，可能是…………""
wm_anLCgAARM_2hPDwet0MaEk7zHdLOA(客户): ""作天晚上放的""
wm_anLCgAARM_2hPDwet0MaEk7zHdLOA(客户): ""没有看见不可能的""
周雪松(员工): ""好的，那就是收遗漏了，不好意思""
07月01日 20:16分
秩序部，郑文(员工): ""各位尊敬的业主:
大家晚上好[抱拳][抱…………""
秩序部，郑文(员工)：""[视频]"""
"07月02日 08:11分
秩序部，郑文(员工)：""[视频]""
07月02日 09:33分
陈华乐(客户): ""电梯里一股狗尿味[捂脸]""
周東(员工): ""收到，我们马上过去处理@A1贵阳旗帜工厂…………""
07月02日 17:42分
维修部，代远立(员工): ""#公区维修-小区停车道闸施工中
⚙匠心维…………""
维修部，代远立(员工)：""[图片]""
07月02日 20:00分
A1-2302(客户): ""@物业安保部负责人周东 有麻将比赛规则吗""
A1-2302(客户): ""@物业安保部负责人周东 麻烦发一个""
周東(员工): ""我发给您@A雀王麻将机批发1858556…………""
周東(员工): ""雀王大赛游戏规则
1、每桌麻将机配一副扑…………""
周東(员工): ""@A雀王麻将机批发18585567799…………""
07月02日 20:06分
A1-2302(客户): ""谢谢""
07月02日 20:17分
wm_anLCgAAi2vrSMyXvcXWyWGpyYjgfA(员工): ""各位尊敬的业主:
大家晚上好[抱拳][抱…………""
wm_anLCgAAi2vrSMyXvcXWyWGpyYjgfA(员工)：""[视频]""
07月02日 22:22分
wm_anLCgAAMzKtcb4X7czn6fayOwwr1Q(客户): ""晚上好 打扰了哈 男厕所晚上在外面能看的到 可能需要一个遮住的东西 厕所稍微透明了""
谢吉军(客户): ""@蒲儿 
公区男厕所吗""
wm_anLCgAAMzKtcb4X7czn6fayOwwr1Q(客户): ""是的[呲牙]刚才我弟弟说的""
wm_anLCgAAMzKtcb4X7czn6fayOwwr1Q(客户): ""一栋哪里晚上开灯外面能清楚的看到里面""
07月02日 22:28分
谢吉军(客户): ""@蒲儿 
收到，感谢您的反馈[抱拳]
我们平时上厕所时候，
没往外看，
保持专注，
看的该看的地方[捂脸]""
07月02日 22:34分
wm_anLCgAAMzKtcb4X7czn6fayOwwr1Q(客户): ""[呲牙]我弟弟说万一对视有点激动哈哈😂""
07月02日 22:40分
周東(员工): ""明天就过去现场研究处理@蒲儿 ""
谢吉军(客户)：""[表情]""
07月02日 22:48分
wm_anLCgAAMzKtcb4X7czn6fayOwwr1Q(客户): ""要晚上开灯得时候哈[害羞]""
维修部，代远立(员工): ""明天想办法都处理咯[捂脸]"""
